snapshot_date,source_url,retrieved_at_utc,registry_number,ticker,registry_name,registrar,registry_nominal,detail_url,has_standard_four_letter_ticker
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,1,AADI,ADARO ANDALAN INDONESIA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",3125,https://web.ksei.co.id/services/registered-securities/shares/lc/AADI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,2,AALI,ASTRA AGRO LESTARI Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/AALI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,3,ABBA,MAHAKA MEDIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ABBA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,4,ABDA,ASURANSI BINA DANA ARTA Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/ABDA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,5,ABMM,ABM INVESTAMA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/ABMM,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,6,ACES,ASPIRASI HIDUP INDONESIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",10,https://web.ksei.co.id/services/registered-securities/shares/lc/ACES,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,7,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",20,https://web.ksei.co.id/services/registered-securities/shares/lc/ACRO,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,8,ACST,ACSET INDONUSA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ACST,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,9,ADCP,ADHI COMMUTER PROPERTI Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ADCP,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,10,ADES,AKASHA WIRA INTERNATIONAL Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",1000,https://web.ksei.co.id/services/registered-securities/shares/lc/ADES,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,11,ADHI,ADHI KARYA (PERSERO) Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/ADHI,True
